epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.8984,1.60163,2.62994,1.25632,0.0094,0.63679,0.00821,0.00375,1.87516,7.66412,1.41175,0.000656566,0.000656566,0.000656566
2,27.511,1.43441,0.96959,1.17954,0.78542,0.80189,0.87363,0.47738,1.61724,4.76705,1.37817,0.00119223,0.00119223,0.00119223
3,36.3959,1.41895,1.00472,1.20212,0.90136,0.86321,0.90746,0.56196,1.41238,1.88788,1.20451,0.0015959,0.0015959,0.0015959
4,44.7376,1.38929,0.84394,1.17085,0.6997,0.38208,0.49046,0.29838,1.60878,3.18267,1.26961,0.001406,0.001406,0.001406
5,52.7434,1.35898,0.83119,1.16512,0.88236,0.84913,0.90928,0.58753,1.41833,0.88555,1.16936,0.001208,0.001208,0.001208
6,61.7186,1.31882,0.75244,1.14466,0.88418,0.90094,0.9405,0.60777,1.37712,0.80664,1.14766,0.00101,0.00101,0.00101
7,70.2941,1.30555,0.70221,1.12723,0.8588,0.7783,0.83449,0.49441,1.53804,1.16486,1.23141,0.000812,0.000812,0.000812
8,78.1465,1.28574,0.68007,1.1083,0.93678,0.91038,0.97161,0.64117,1.4644,0.72871,1.16387,0.000614,0.000614,0.000614
9,87.1233,1.25798,0.63309,1.09834,0.87167,0.83962,0.90533,0.59911,1.30219,0.80158,1.11038,0.000416,0.000416,0.000416
10,95.0844,1.22639,0.59843,1.08771,0.92912,0.93396,0.97832,0.6809,1.1709,0.58823,1.07307,0.000218,0.000218,0.000218
