epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,188.84,1.82451,1.80578,0.9983,0.81054,0.80721,0.8473,0.46488,1.38098,1.19142,0.85508,0.000665392,0.000665392,0.000665392
2,350.177,1.85322,1.36099,0.98537,0.9219,0.77953,0.87698,0.41248,1.54706,0.94846,0.87885,0.00126612,0.00126612,0.00126612
3,496.887,1.78099,1.26302,0.95703,0.82227,0.80748,0.86577,0.47709,1.31356,1.03452,0.83774,0.00180085,0.00180085,0.00180085
4,637.852,1.78372,1.21803,0.96444,0.45973,0.64623,0.60039,0.29546,1.78312,2.7836,1.00593,0.001703,0.001703,0.001703
5,778.344,1.69513,1.10092,0.92206,0.86828,0.87264,0.9002,0.43577,1.4804,0.92774,0.87,0.001604,0.001604,0.001604
6,919.101,1.69353,1.13108,0.9431,0.83541,0.81132,0.86504,0.47204,1.34889,0.86496,0.85137,0.001505,0.001505,0.001505
7,1060.98,1.5818,1.0179,0.91769,0.8698,0.94533,0.94259,0.57502,1.24151,0.70719,0.81529,0.001406,0.001406,0.001406
8,1202.2,1.57605,1.03298,0.91486,0.89352,0.85377,0.89218,0.51593,1.31259,0.75051,0.83747,0.001307,0.001307,0.001307
9,1344.13,1.57191,0.9283,0.9016,0.89258,0.89623,0.94259,0.52913,1.31628,0.79428,0.83026,0.001208,0.001208,0.001208
10,1485.91,1.51218,0.96535,0.89334,0.88553,0.94876,0.95171,0.56994,1.25599,0.6937,0.81279,0.001109,0.001109,0.001109
11,1626.16,1.47437,0.88657,0.91554,0.90382,0.90566,0.95518,0.56674,1.27387,0.67143,0.81808,0.00101,0.00101,0.00101
12,1766.01,1.46258,0.82938,0.91098,0.90753,0.92587,0.95786,0.60099,1.1548,0.70005,0.80212,0.000911,0.000911,0.000911
13,1906.61,1.43396,0.80353,0.89971,0.92782,0.91509,0.95486,0.59546,1.15363,0.6474,0.79849,0.000812,0.000812,0.000812
14,2046.15,1.40888,0.77249,0.8932,0.92249,0.9434,0.95362,0.56958,1.12197,0.63592,0.79195,0.000713,0.000713,0.000713
15,2185.29,1.39237,0.75467,0.88707,0.93972,0.91981,0.96826,0.6166,1.12484,0.6075,0.79091,0.000614,0.000614,0.000614
16,2325.44,1.37248,0.77544,0.87939,0.89112,0.9434,0.95069,0.58374,1.14843,0.64518,0.7974,0.000515,0.000515,0.000515
17,2464.75,1.34581,0.74817,0.8728,0.9039,0.92925,0.9497,0.58514,1.12656,0.69009,0.78901,0.000416,0.000416,0.000416
18,2604.76,1.31658,0.68676,0.87005,0.89355,0.94811,0.96589,0.60601,1.10894,0.58309,0.78706,0.000317,0.000317,0.000317
19,2744.25,1.32403,0.68768,0.87507,0.91633,0.92984,0.9689,0.62504,1.06842,0.58489,0.7784,0.000218,0.000218,0.000218
20,2883.83,1.30942,0.65314,0.86004,0.92448,0.92393,0.96681,0.62128,1.08811,0.59441,0.78078,0.000119,0.000119,0.000119
